STATE,SALES_MONTH,STATE_PRICE
Saskatchewan,2024-04-01,7.00210197
California,2022-12-01,7.00225682
Colorado,2025-05-01,7.01052792
Massachusetts,2024-08-01,7.01170174
Ohio,2023-10-01,7.01218941
Colorado,2025-02-01,7.01347118
California,2025-06-01,7.01590470
Saskatchewan,2024-03-01,7.01708130
Colorado,2024-10-01,7.01839796
Newfoundland and Labrador,2024-06-01,7.01957399
Colorado,2024-02-01,7.02325780
Arizona,2023-09-01,7.02721385
California,2023-09-01,7.02815653
Michigan,2023-08-01,7.02845766
New Mexico,2023-08-01,7.03717875
Michigan,2022-12-01,7.04747673
Colorado,2024-11-01,7.05393798
Colorado,2024-03-01,7.05432800
Michigan,2023-01-01,7.06008339
Colorado,2025-04-01,7.06302177
New Mexico,2023-09-01,7.07321620
Colorado,2024-12-01,7.07804842
Hawaii,2025-08-01,7.07909704
Newfoundland and Labrador,2023-12-01,7.08292952
Colorado,2024-07-01,7.08762173
Colorado,2024-05-01,7.08965378
California,2025-05-01,7.09010733
South Dakota,2025-11-01,7.09053068
