STATE,SALES_MONTH,STATE_PRICE
Texas,2024-07-01,6.23842105
Michigan,2025-01-01,6.24187765
Arizona,2026-01-01,6.24207525
Arizona,2025-12-01,6.24500605
Oregon,2025-01-01,6.24690629
Oregon,2024-05-01,6.25153842
Arizona,2024-09-01,6.25421591
Hawaii,2025-09-01,6.25565926
Ontario,2025-12-01,6.25893829
New Mexico,2025-11-01,6.26347495
Arizona,2026-02-01,6.26939193
Massachusetts,2025-02-01,6.27007130
Arkansas,2026-03-01,6.27221093
Michigan,2024-11-01,6.27503326
Florida,2024-10-01,6.27511353
California,2024-05-01,6.27566166
Arkansas,2026-05-01,6.27761688
New Hampshire,2024-04-01,6.28491150
Arkansas,2025-12-01,6.28846484
Arizona,2025-03-01,6.28874958
Texas,2025-05-01,6.29061538
Colorado,2023-05-01,6.29101660
Florida,2023-06-01,6.29231259
Ontario,2026-05-01,6.30103788
Florida,2026-05-01,6.30413148
Oregon,2025-05-01,6.30869904
Oregon,2024-03-01,6.31278023
California,2025-01-01,6.31621768
Oregon,2024-11-01,6.31744904
Arizona,2024-04-01,6.32819020
Michigan,2024-12-01,6.33046253
New Mexico,2026-03-01,6.33390487
Arkansas,2025-01-01,6.33879042
Oregon,2024-04-01,6.33929568
Oregon,2024-12-01,6.34017693
Oregon,2025-06-01,6.34194878
Oregon,2024-09-01,6.34351945
Massachusetts,2025-01-01,6.34545064
Newfoundland and Labrador,2026-03-01,6.35176271
Newfoundland and Labrador,2026-02-01,6.35325041
Oregon,2025-08-01,6.35899986
Florida,2022-09-01,6.36661534
New Mexico,2025-03-01,6.36813999
Oregon,2025-07-01,6.37030595
Oregon,2024-07-01,6.37151156
Oregon,2024-08-01,6.37399713
New Mexico,2025-04-01,6.37596967
Arkansas,2023-12-01,6.37631314
Oregon,2023-08-01,6.38222533
Oregon,2024-10-01,6.38688792
Ontario,2025-09-01,6.39045716
Arizona,2024-08-01,6.39086147
Ontario,2025-08-01,6.39455413
Oregon,2024-06-01,6.39503426
Arkansas,2025-11-01,6.39681505
Florida,2023-09-01,6.40060374
Massachusetts,2024-12-01,6.40592764
Arkansas,2024-04-01,6.40697419
Florida,2024-08-01,6.40722627
Arkansas,2025-10-01,6.40880147
Oregon,2023-06-01,6.40948307
Pennsylvania,2026-04-01,6.41139042
Oklahoma,2023-01-01,6.41241167
New Mexico,2024-04-01,6.41386937
Ontario,2025-06-01,6.41427479
Florida,2023-02-01,6.41529733
Arkansas,2024-01-01,6.41637326
Ohio,2023-11-01,6.41816722
Arizona,2024-05-01,6.42291403
Arkansas,2024-12-01,6.42297371
Oregon,2024-02-01,6.42645085
Arizona,2026-03-01,6.43247970
Ontario,2025-07-01,6.43422840
Oregon,2023-05-01,6.43459544
Oregon,2023-04-01,6.43545834
Arkansas,2024-02-01,6.43848192
Pennsylvania,2025-11-01,6.44515623
Florida,2023-10-01,6.44646289
Oregon,2023-07-01,6.45498625
Arkansas,2024-05-01,6.45788885
Florida,2023-11-01,6.46486071
Ontario,2025-10-01,6.46631396
Oregon,2025-09-01,6.46925909
Arizona,2024-07-01,6.47192662
Michigan,2024-07-01,6.47231467
Arkansas,2025-02-01,6.48057459
Oregon,2023-11-01,6.48151340
Pennsylvania,2025-09-01,6.48669245
Arkansas,2024-11-01,6.48731661
Saskatchewan,2024-01-01,6.49341627
Newfoundland and Labrador,2024-12-01,6.49412621
Oregon,2024-01-01,6.49451785
Florida,2023-12-01,6.49800694
California,2024-10-01,6.49864734
Hawaii,2025-10-01,6.50205279
California,2025-02-01,6.50602283
Michigan,2024-10-01,6.51028378
Arkansas,2025-09-01,6.51485022
Arkansas,2026-01-01,6.51829861
Arkansas,2023-08-01,6.52093061
Arkansas,2024-03-01,6.52457875
Oregon,2022-12-01,6.52775434
Pennsylvania,2026-05-01,6.52896681
Hawaii,2025-11-01,6.52898438
Pennsylvania,2025-04-01,6.53406004
Arkansas,2026-02-01,6.53636440
Ohio,2023-12-01,6.53775935
New Mexico,2024-03-01,6.53831621
Arizona,2026-04-01,6.54179425
Oregon,2023-09-01,6.54377598
Colorado,2026-04-01,6.54433179
Arkansas,2024-10-01,6.54455799
South Dakota,2026-05-01,6.55019984
Newfoundland and Labrador,2025-01-01,6.55317585
Oregon,2023-01-01,6.55579994
California,2026-04-01,6.56028742
Arizona,2024-06-01,6.56161049
New Mexico,2024-12-01,6.56387532
Massachusetts,2024-11-01,6.56721956
Manitoba,2025-04-01,6.57546075
Pennsylvania,2025-10-01,6.58237376
Arkansas,2023-09-01,6.58489288
Michigan,2024-09-01,6.58669586
New Mexico,2025-09-01,6.59000412
Pennsylvania,2024-11-01,6.59143160
Oregon,2023-02-01,6.59329647
Ohio,2024-02-01,6.59522895
New Mexico,2025-07-01,6.60202215
Florida,2024-01-01,6.61498735
New Mexico,2024-07-01,6.61573001
Nova Scotia,2024-11-01,6.61613636
Michigan,2023-04-01,6.61661077
Arkansas,2025-07-01,6.61818988
Pennsylvania,2025-07-01,6.62478403
Arkansas,2025-03-01,6.62548023
Alberta,2025-04-01,6.62595725
Pennsylvania,2025-06-01,6.64074121
Michigan,2024-08-01,6.64090547
Arkansas,2025-08-01,6.65073943
New Mexico,2025-06-01,6.65101819
New Mexico,2025-05-01,6.65198082
Ontario,2025-05-01,6.65205555
New Mexico,2025-08-01,6.65553874
Arkansas,2024-09-01,6.66281110
Oregon,2023-10-01,6.66800867
Florida,2024-07-01,6.67465858
Pennsylvania,2024-12-01,6.68302421
Pennsylvania,2026-03-01,6.68786255
Arkansas,2024-06-01,6.69627023
Pennsylvania,2025-12-01,6.70127173
Pennsylvania,2025-03-01,6.70162571
Oregon,2022-11-01,6.70335601
Pennsylvania,2025-05-01,6.70535645
Arizona,2026-05-01,6.71359313
California,2026-05-01,6.71419782
Arkansas,2023-10-01,6.71644126
Arkansas,2025-04-01,6.71671210
Michigan,2024-06-01,6.72395367
Pennsylvania,2026-02-01,6.72571394
Oregon,2023-03-01,6.72669018
Pennsylvania,2025-01-01,6.73275433
Colorado,2026-02-01,6.73835376
Michigan,2023-03-01,6.74032520
Pennsylvania,2025-02-01,6.74042694
Oregon,2022-10-01,6.74155831
Michigan,2023-05-01,6.74458112
Colorado,2023-08-01,6.74551885
Arkansas,2025-06-01,6.74714239
California,2024-01-01,6.75380564
New Mexico,2024-06-01,6.76095493
Arkansas,2024-07-01,6.76331667
Pennsylvania,2025-08-01,6.76344336
Pennsylvania,2026-01-01,6.76404125
Manitoba,2024-11-01,6.77165326
Hawaii,2025-12-01,6.77277419
Newfoundland and Labrador,2024-10-01,6.77340136
Oklahoma,2022-10-01,6.78175631
Colorado,2026-01-01,6.78315363
California,2026-02-01,6.78373012
Arizona,2024-02-01,6.78553376
Michigan,2023-07-01,6.78663589
Arkansas,2025-05-01,6.78694259
Colorado,2025-12-01,6.79307039
Ontario,2025-04-01,6.79394381
Ohio,2024-01-01,6.79610087
Florida,2024-04-01,6.79996308
Massachusetts,2024-10-01,6.80058385
Arkansas,2024-08-01,6.80185889
Colorado,2025-11-01,6.80209897
Colorado,2023-09-01,6.80214388
Florida,2024-02-01,6.80456029
Arizona,2023-11-01,6.80634673
Pennsylvania,2024-10-01,6.80882340
Arizona,2024-03-01,6.81237179
Michigan,2023-06-01,6.81421326
Arizona,2024-01-01,6.82267114
California,2023-06-01,6.82579672
California,2026-01-01,6.82738950
Pennsylvania,2024-09-01,6.82760787
Newfoundland and Labrador,2024-09-01,6.83128205
Colorado,2025-09-01,6.83235007
Newfoundland and Labrador,2024-11-01,6.83314286
California,2023-08-01,6.83853252
Oregon,2022-09-01,6.84146935
California,2023-07-01,6.84231849
Ohio,2023-09-01,6.84359136
Newfoundland and Labrador,2024-04-01,6.84607565
Colorado,2026-03-01,6.84685206
Michigan,2024-05-01,6.84700811
Florida,2024-05-01,6.84743635
New York,2023-12-01,6.84973236
British Columbia,2025-06-01,6.85613188
New York,2024-01-01,6.85922710
Newfoundland and Labrador,2024-08-01,6.85958515
Newfoundland and Labrador,2024-07-01,6.86153684
California,2023-12-01,6.86407132
Michigan,2024-04-01,6.87044933
Arkansas,2023-07-01,6.87473868
California,2025-04-01,6.87743533
West Virginia,2024-11-01,6.87847352
California,2025-11-01,6.87987943
California,2026-03-01,6.88184547
Oklahoma,2025-09-01,6.88253960
