STATE,SALES_MONTH,TOTAL_DOLLARS
Nunavut,2023-05-01,617826.18
Missouri,2023-05-01,121872543.43
Hawaii,2023-05-01,3291915.59
Louisiana,2023-05-01,2774421.07
Pennsylvania,2023-05-01,90544402.82
Saskatchewan,2023-05-01,12408109.53
Oklahoma,2023-05-01,124261320.06
Nevada,2023-05-01,70392335.76
Puerto Rico,2023-06-01,59956500.71
Illinois,2023-06-01,133615198.53
Hawaii,2023-06-01,3104780.37
Northern Mariana Islands,2023-06-01,0.00
Connecticut,2023-06-01,24080727.00
New Mexico,2023-06-01,48286514.81
Missouri,2023-06-01,120592818.36
Alaska,2023-06-01,19474363.42
Minnesota,2023-06-01,3851130.61
Rhode Island,2023-06-01,5695846.52
Nova Scotia,2023-06-01,36790.29
Mississippi,2023-06-01,6000958.63
Iowa,2023-06-01,1185492.00
Washington,2023-06-01,77032836.15
Michigan,2023-06-01,262479668.82
Delaware,2023-06-01,3570729.31
Oklahoma,2023-06-01,122766009.44
New Jersey,2023-06-01,56672635.05
Nevada,2023-06-01,70590178.38
Saskatchewan,2023-06-01,12609420.07
District of Columbia,2023-06-01,2997000.72
Yukon,2023-06-01,1110757.70
Georgia,2023-06-01,248231.47
Virginia,2023-06-01,12167469.11
New Hampshire,2023-06-01,1022656.46
Louisiana,2023-06-01,2961349.29
Alberta,2023-06-01,75856274.18
Nunavut,2023-06-01,626802.08
Utah,2023-06-01,9050833.69
Ohio,2023-06-01,40177597.74
New York,2023-06-01,17952711.71
Pennsylvania,2023-06-01,90891804.90
Maryland,2023-06-01,42956648.66
Montana,2023-06-01,26997051.99
South Carolina,2023-06-01,0.00
California,2023-06-01,403334396.26
Newfoundland and Labrador,2023-06-01,3958553.79
Arkansas,2023-06-01,22414583.09
Colorado,2023-06-01,132683153.80
North Dakota,2023-06-01,1299589.41
Arizona,2023-06-01,112404274.71
Maine,2023-06-01,42361255.10
Massachusetts,2023-06-01,154263233.69
Oregon,2023-06-01,82363057.90
British Columbia,2023-06-01,68226743.37
Vermont,2023-06-01,9384541.89
Manitoba,2023-06-01,13192517.94
Texas,2023-06-01,839168.76
Ontario,2023-06-01,185843521.70
South Dakota,2023-06-01,3307545.72
New Brunswick,2023-06-01,2454538.58
West Virginia,2023-06-01,5890332.59
Florida,2023-06-01,142213405.13
Newfoundland and Labrador,2023-07-01,4417824.08
Manitoba,2023-07-01,13719936.19
British Columbia,2023-07-01,73061474.54
Alberta,2023-07-01,78278982.54
New Hampshire,2023-07-01,931713.71
Michigan,2023-07-01,278468754.14
New York,2023-07-01,23637121.72
California,2023-07-01,377154366.91
New Mexico,2023-07-01,48434862.20
Georgia,2023-07-01,429739.13
Mississippi,2023-07-01,6590018.57
Rhode Island,2023-07-01,6167309.28
Arkansas,2023-07-01,23630389.67
Ohio,2023-07-01,40874024.42
New Jersey,2023-07-01,59224207.21
Minnesota,2023-07-01,3831081.55
South Carolina,2023-07-01,0.00
Utah,2023-07-01,8724122.70
Washington,2023-07-01,84429117.95
Connecticut,2023-07-01,23765837.45
District of Columbia,2023-07-01,2879260.04
Ontario,2023-07-01,197970316.25
South Dakota,2023-07-01,3442555.97
Saskatchewan,2023-07-01,13020195.27
Virginia,2023-07-01,12509185.89
Louisiana,2023-07-01,3992795.34
Puerto Rico,2023-07-01,72702490.38
Pennsylvania,2023-07-01,91825388.68
North Dakota,2023-07-01,1242849.01
Nevada,2023-07-01,70577958.58
Oklahoma,2023-07-01,124737056.65
Texas,2023-07-01,878328.40
Florida,2023-07-01,144500798.46
Missouri,2023-07-01,124153461.47
Colorado,2023-07-01,138823882.86
Arizona,2023-07-01,105787329.07
Massachusetts,2023-07-01,157043278.39
New Brunswick,2023-07-01,1651080.98
Oregon,2023-07-01,83864870.70
Alaska,2023-07-01,18169016.13
Hawaii,2023-07-01,3095802.10
Illinois,2023-07-01,136242458.20
Montana,2023-07-01,29758465.59
Vermont,2023-07-01,10404893.47
